,0,1,2,3,4,Xt
0,72.076,64.442,64.084,60.842,61.798,66.538
1,64.442,64.084,60.842,61.798,66.538,72.626
2,64.084,60.842,61.798,66.538,72.626,75.181
3,60.842,61.798,66.538,72.626,75.181,68.397
4,61.798,66.538,72.626,75.181,68.397,67.668
5,66.538,72.626,75.181,68.397,67.668,67.021
6,72.626,75.181,68.397,67.668,67.021,71.118
7,75.181,68.397,67.668,67.021,71.118,70.55
8,68.397,67.668,67.021,71.118,70.55,62.929
9,67.668,67.021,71.118,70.55,62.929,64.519
10,67.021,71.118,70.55,62.929,64.519,60.544
11,71.118,70.55,62.929,64.519,60.544,64.687
12,70.55,62.929,64.519,60.544,64.687,64.736
13,62.929,64.519,60.544,64.687,64.736,73.698
14,64.519,60.544,64.687,64.736,73.698,72.559
15,60.544,64.687,64.736,73.698,72.559,63.221
16,64.687,64.736,73.698,72.559,63.221,65.418
17,64.736,73.698,72.559,63.221,65.418,65.593
18,73.698,72.559,63.221,65.418,65.593,71.677
19,72.559,63.221,65.418,65.593,71.677,72.708
20,63.221,65.418,65.593,71.677,72.708,65.117
21,65.418,65.593,71.677,72.708,65.117,66.532
22,65.593,71.677,72.708,65.117,66.532,61.975
23,71.677,72.708,65.117,66.532,61.975,62.031
24,72.708,65.117,66.532,61.975,62.031,67.875
25,65.117,66.532,61.975,62.031,67.875,74.184
26,66.532,61.975,62.031,67.875,74.184,77.029
27,61.975,62.031,67.875,74.184,77.029,66.156
28,62.031,67.875,74.184,77.029,66.156,66.651
29,67.875,74.184,77.029,66.156,66.651,67.625
30,74.184,77.029,66.156,66.651,67.625,75.857
31,77.029,66.156,66.651,67.625,75.857,81.264
32,66.156,66.651,67.625,75.857,81.264,71.058
33,66.651,67.625,75.857,81.264,71.058,73.361
34,67.625,75.857,81.264,71.058,73.361,68.703
35,75.857,81.264,71.058,73.361,68.703,68.985
36,81.264,71.058,73.361,68.703,68.985,73.936
37,71.058,73.361,68.703,68.985,73.936,80.968
38,73.361,68.703,68.985,73.936,80.968,81.962
39,68.703,68.985,73.936,80.968,81.962,72.95
40,68.985,73.936,80.968,81.962,72.95,74.746
41,73.936,80.968,81.962,72.95,74.746,78.924
42,80.968,81.962,72.95,74.746,78.924,84.49
43,81.962,72.95,74.746,78.924,84.49,87.215
44,72.95,74.746,78.924,84.49,87.215,75.943
45,74.746,78.924,84.49,87.215,75.943,75.092
46,78.924,84.49,87.215,75.943,75.092,68.641
47,84.49,87.215,75.943,75.092,68.641,74.916
48,87.215,75.943,75.092,68.641,74.916,80.942
49,75.943,75.092,68.641,74.916,80.942,90.667
50,75.092,68.641,74.916,80.942,90.667,89.046
51,68.641,74.916,80.942,90.667,89.046,80.975
52,74.916,80.942,90.667,89.046,80.975,77.369
53,80.942,90.667,89.046,80.975,77.369,78.058
54,90.667,89.046,80.975,77.369,78.058,83.279
55,89.046,80.975,77.369,78.058,83.279,85.191
56,80.975,77.369,78.058,83.279,85.191,71.476
57,77.369,78.058,83.279,85.191,71.476,67.829
58,78.058,83.279,85.191,71.476,67.829,69.051
59,83.279,85.191,71.476,67.829,69.051,74.201
60,85.191,71.476,67.829,69.051,74.201,81.372
61,71.476,67.829,69.051,74.201,81.372,88.003
62,67.829,69.051,74.201,81.372,88.003,91.836
63,69.051,74.201,81.372,88.003,91.836,85.066
64,74.201,81.372,88.003,91.836,85.066,79.494
65,81.372,88.003,91.836,85.066,79.494,79.291
66,88.003,91.836,85.066,79.494,79.291,87.107
67,91.836,85.066,79.494,79.291,87.107,93.946
68,85.066,79.494,79.291,87.107,93.946,83.91
69,79.494,79.291,87.107,93.946,83.91,83.689
70,79.291,87.107,93.946,83.91,83.689,78.077
71,87.107,93.946,83.91,83.689,78.077,83.19
72,93.946,83.91,83.689,78.077,83.19,88.15
73,83.91,83.689,78.077,83.19,88.15,96.579
74,83.689,78.077,83.19,88.15,96.579,97.246
75,78.077,83.19,88.15,96.579,97.246,84.463
76,83.19,88.15,96.579,97.246,84.463,86.071
77,88.15,96.579,97.246,84.463,86.071,86.09
78,96.579,97.246,84.463,86.071,86.09,94.293
79,97.246,84.463,86.071,86.09,94.293,100.568
80,84.463,86.071,86.09,94.293,100.568,94.862
81,86.071,86.09,94.293,100.568,94.862,93.21
82,86.09,94.293,100.568,94.862,93.21,81.245
83,94.293,100.568,94.862,93.21,81.245,82.785
84,100.568,94.862,93.21,81.245,82.785,91.484
85,94.862,93.21,81.245,82.785,91.484,107.126
86,93.21,81.245,82.785,91.484,107.126,106.245
87,81.245,82.785,91.484,107.126,106.245,95.662
88,82.785,91.484,107.126,106.245,95.662,90.03
89,91.484,107.126,106.245,95.662,90.03,91.239
90,107.126,106.245,95.662,90.03,91.239,102.138
91,106.245,95.662,90.03,91.239,102.138,108.164
92,95.662,90.03,91.239,102.138,108.164,94.766
93,90.03,91.239,102.138,108.164,94.766,95.724
94,91.239,102.138,108.164,94.766,95.724,86.386
95,102.138,108.164,94.766,95.724,86.386,89.002
96,108.164,94.766,95.724,86.386,89.002,99.05
97,94.766,95.724,86.386,89.002,99.05,111.044
98,95.724,86.386,89.002,99.05,111.044,107.758
99,86.386,89.002,99.05,111.044,107.758,95.891
100,89.002,99.05,111.044,107.758,95.891,94.541
101,99.05,111.044,107.758,95.891,94.541,92.986
102,111.044,107.758,95.891,94.541,92.986,105.056
103,107.758,95.891,94.541,92.986,105.056,113.136
104,95.891,94.541,92.986,105.056,113.136,97.313
105,94.541,92.986,105.056,113.136,97.313,95.335
106,92.986,105.056,113.136,97.313,95.335,86.587
107,105.056,113.136,97.313,95.335,86.587,90.83
108,113.136,97.313,95.335,86.587,90.83,94.419
109,97.313,95.335,86.587,90.83,94.419,109.995
110,95.335,86.587,90.83,94.419,109.995,109.179
111,86.587,90.83,94.419,109.995,109.179,96.39
112,90.83,94.419,109.995,109.179,96.39,92.24
113,94.419,109.995,109.179,96.39,92.24,95.165
114,109.995,109.179,96.39,92.24,95.165,101.367
115,109.179,96.39,92.24,95.165,101.367,105.965
116,96.39,92.24,95.165,101.367,105.965,90.912
117,92.24,95.165,101.367,105.965,90.912,93.568
118,95.165,101.367,105.965,90.912,93.568,86.575
119,101.367,105.965,90.912,93.568,86.575,90.75
120,105.965,90.912,93.568,86.575,90.75,99.98
121,90.912,93.568,86.575,90.75,99.98,119.945
122,93.568,86.575,90.75,99.98,119.945,126.652
123,86.575,90.75,99.98,119.945,126.652,107.675
124,90.75,99.98,119.945,126.652,107.675,100.677
125,99.98,119.945,126.652,107.675,100.677,101.663
126,119.945,126.652,107.675,100.677,101.663,117.417
127,126.652,107.675,100.677,101.663,117.417,119.436
128,107.675,100.677,101.663,117.417,119.436,103.635
129,100.677,101.663,117.417,119.436,103.635,108.149
130,101.663,117.417,119.436,103.635,108.149,94.329
131,117.417,119.436,103.635,108.149,94.329,98.181
132,119.436,103.635,108.149,94.329,98.181,112.983
133,103.635,108.149,94.329,98.181,112.983,119.701
134,108.149,94.329,98.181,112.983,119.701,125.724
135,94.329,98.181,112.983,119.701,125.724,107.179
136,98.181,112.983,119.701,125.724,107.179,108.583
